Filtering the log data using "subsystem == "com.spatial.app.driver.speaker""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:10.661 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18752 clientID=413 bundleID=com.spatial.app clientReadCount=797 inputOnly=true stream=input frames=512 peak=0.300840 sample0=0.010604 sample1=-0.041257 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.300840 writeMixSeq=15113
2026-05-09 22:13:10.755 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=15168 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.235581
2026-05-09 22:13:10.831 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18768 clientID=413 bundleID=com.spatial.app clientReadCount=813 inputOnly=true stream=input frames=512 peak=0.375239 sample0=-0.010083 sample1=-0.078333 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.375239 writeMixSeq=15129
2026-05-09 22:13:11.002 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18784 clientID=413 bundleID=com.spatial.app clientReadCount=829 inputOnly=true stream=input frames=512 peak=0.167856 sample0=0.044691 sample1=0.109112 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.167856 writeMixSeq=15145
2026-05-09 22:13:11.173 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18800 clientID=413 bundleID=com.spatial.app clientReadCount=845 inputOnly=true stream=input frames=512 peak=0.713667 sample0=-0.377585 sample1=-0.201028 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.713667 writeMixSeq=15161
2026-05-09 22:13:11.343 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18816 clientID=413 bundleID=com.spatial.app clientReadCount=861 inputOnly=true stream=input frames=512 peak=0.147765 sample0=-0.052997 sample1=-0.032233 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.147765 writeMixSeq=15177
2026-05-09 22:13:11.514 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18832 clientID=413 bundleID=com.spatial.app clientReadCount=877 inputOnly=true stream=input frames=512 peak=0.097031 sample0=0.062984 sample1=0.089840 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.097031 writeMixSeq=15193
2026-05-09 22:13:11.685 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18848 clientID=413 bundleID=com.spatial.app clientReadCount=893 inputOnly=true stream=input frames=512 peak=0.230963 sample0=0.167431 sample1=-0.048854 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.230963 writeMixSeq=15209
2026-05-09 22:13:11.779 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:6823c] [com.spatial.app.driver.speaker:AudioServerPlugIn] WriteMix n=15264 clientID=230 bundleID=com.spotify.client stream=output frames=72 peak=0.209994
2026-05-09 22:13:11.855 E  com.apple.audio.Core-Audio-Driver-Service.helper[93824:68246] [com.spatial.app.driver.speaker:AudioServerPlugIn] DIAG ReadInput n=18864 clientID=413 bundleID=com.spatial.app clientReadCount=909 inputOnly=true stream=input frames=512 peak=0.176559 sample0=-0.131718 sample1=-0.176559 ringFrames=0 lastWriterClientID=230 lastWriterBundleID=com.spotify.client lastWriterPeak=0.176559 writeMixSeq=15225
