Filtering the log data using "process == "coreaudiod" OR subsystem == "com.apple.audio.AUHAL" OR subsystem == "com.apple.coreaudio" OR subsystem BEGINSWITH "com.apple.audio""
Timestamp               Ty Process[PID:TID]
2026-05-09 22:13:04.478 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.509 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.520 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.531 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.541 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1005 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.541 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]        AudioQueueObject.h:1269  AQFetch: Input ring buffer returning 0x280 frames, t: 0x80a700 - 0x80a980
2026-05-09 22:13:04.541 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7354  EncoderInputProc: ->640 fr, 2560 bytes @ t=8431360 fr
2026-05-09 22:13:04.541 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7234  ConvertInput: <-0x200/0x200 packets, 0x800/0x800 bytes [buffer 1005]
2026-05-09 22:13:04.542 Db corespeechd[598:681ae] [com.apple.coreaudio:aqiotime]              AQIONode.cpp:122     ionode anchor 12346.126612, 8432261 st, 1.000000 rs
2026-05-09 22:13:04.542 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
2026-05-09 22:13:04.542 Db corespeechd[598:68082] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:5719  EnqueueBuffer: aq@0x710c4e800: bufid 1005, cmd 0x7104f93b8, data 0x108398870: 0 bytes, 0 frames (trim 0/0), 0 packets, invalid ht, invalid st, outActualStartTime 0x0
2026-05-09 22:13:04.542 Db corespeechd[598:681ae] [com.apple.coreaudio:AQ]      AudioQueueObject.cpp:7205  ConvertInput: bufid 1006 0x0/0x800 bytes, 0/512 packets, mNumPacketDescriptions=0
